gene	linb	nSNP
ENSG00000204438_GPANK1	0.592246131668431	4
ENSG00000204435_CSNK2B	0.8347691374360676	1
ENSG00000263020_AL662899.2	0.6709504622275938	6
ENSG00000240053_LY6G5B	0.48274418776666506	5
ENSG00000204428_LY6G5C	0.7535907783526381	3
ENSG00000204427_ABHD16A	0.4348444890864329	9
ENSG00000204422_AL662899.1	0.7715434365159851	2
ENSG00000204424_LY6G6F	0.05001507782763981	7
ENSG00000250641_LY6G6F-LY6G6D	0.20913684423696788	8
ENSG00000244355_LY6G6D	0.8880629044866379	3
ENSG00000204420_MPIG6B	0.5304857033744776	7
ENSG00000204421_LY6G6C	0.687664113343242	4
ENSG00000213722_DDAH2	0.029477962042526507	4
ENSG00000213719_CLIC1	0.8469938120099059	4
ENSG00000204410_MSH5	0.46548137046503846	24
ENSG00000255152_MSH5-SAPCD1	0.9256818260935085	22
ENSG00000228727_SAPCD1	0.20377355486868698	4
ENSG00000204396_VWA7	0.4691400236935177	11
ENSG00000204394_VARS	0.700689893411249	17
ENSG00000204392_LSM2	0.8687534532327423	3
ENSG00000204390_HSPA1L	0.7982322597494104	3
ENSG00000204389_HSPA1A	0.9652679757342847	5
ENSG00000204388_HSPA1B	0.8738449801262813	2
ENSG00000204387_SNHG32	0.5925766618273118	1
ENSG00000204386_NEU1	0.26170498085947314	8
ENSG00000204385_SLC44A4	0.5476021419552075	16
ENSG00000204371_EHMT2	0.6053986795806926	8
ENSG00000166278_C2	0.35984835301021323	4
ENSG00000204366_ZBTB12	0.15054673846530298	1
ENSG00000244255_AL645922.1	0.4617882076597445	10
ENSG00000243649_CFB	0.8673093068517508	9
ENSG00000204356_NELFE	0.4448717138638072	3
ENSG00000204351_SKIV2L	0.7954994622907479	28
ENSG00000204348_DXO	0.15535180202617638	11
ENSG00000204344_STK19	0.47779645281358896	7
ENSG00000244731_C4A	0.003309650963223554	5
ENSG00000224389_C4B	0.6955448583112677	6
ENSG00000231852_CYP21A2	0.025769068039091403	8
ENSG00000168477_TNXB	0.41727852616632266	40
ENSG00000213676_ATF6B	0.04239622336582227	15
ENSG00000204315_FKBPL	0.508391449702986	6
